GroupName,grouped_text
The Objectives And Roots Of The Scheme To Defraud,"The objectives of the scheme to defraud carried out by defendants and others were, among other things, (a) to falsely present Enron as a profitable successful business; (b) to report recurring earnings that falsely appeared to grow by approximately 15 to 20 percent annually; (c) to meet or exceed the published expectations of industry analysts forecasting Enron's reported earnings-per-share and other results; (d) to maintain an investment-grade credit rating; (e) to conceal the true magnitude of Enron's losses, growing debt and other obligations; (f) to artificially inflate Enron's stock price; and (g) to personally profit from the unlawful conduct, including gains from the sale of inflated Enron stock. As a result of the scheme to defraud carried out by defendants and others, the descriptions of Enron's business and finances in public filings and public statements by defendants and others were false and misleading, and bore no resemblance to its actual performance and financial condition. Lay, Skilling, Causey, and others planned and carried out various parts of the scheme to defraud.  They and others set annual and quarterly financial targets, including earnings and cash flow targets (""budget targets""), for Enron and each of its business units.  The budget targets were based on the numbers necessary to meet or exceed analysts' expectations, not on what could be realistically achieved by legitimate business operations. On a quarterly and year-end basis, Skilling, Causey, and others assessed Enron's progress toward its budget targets.  Often, Enron did not meet the budget targets from business operations and had earnings and cash flow shortfalls that were at times in the hundreds of millions of dollars.  Within Enron, these shortfalls were referred to variously as the ""gap,"" ""stretch,"" and/or ""overview.""  When this occurred, the targets were met by unlawful means, including those described below."
Use of Special Purpose Entities and LJM Partnership to Manipulate Financial Results,"As part of the scheme to defraud, Skilling, Causey, and others transferred assets and liabilities to Special Purpose Entities (""SPEs"").  Under applicable accounting rules, Enron did not need to consolidate the SPE on its balance sheet if an independent investor had made a substantive investment in the SPE (at least 3% of the SPE's equity), had control of the SPE, and had the risks and rewards of owning the SPE assets.  Through the use of SPEs, Enron would, among other things, record earnings and cash flows while hiding debt."
Creation of LJM Partnership,"In June 1999, Skilling, Causey, and others sought and obtained the approval of the Board for Fastow to create and serve as the managing partner of an investment partnership named LJM Cayman, L.P. (LJM1).  The Board later approved Fastow's participation, as an equity and managing partner, in another even larger partnership used to fund SPEs by Enron named LJM2 Co-Investment, L.P. (LJM2) (the LJM entities are collectively referred to as ""LJM"" unless otherwise noted).  These entities were created to invest in SPEs for Enron. As Skilling, Causey, and others knew, LJM was not a legitimate independent third party because Fastow controlled LJM.  This permitted Skilling, Causey, and others to use LJM as Enron's own vehicle for fraudulent means. From approximately July 1999 through October 2001, Enron entered into fraudulent transactions with LJM.  The transactions enabled defendants and others to manipulate Enron's reported financial results by, among other things: (a) improperly moving poorly performing assets off-balance sheet; (b) concealing Enron's poor operating performance; (c) manufacturing earnings through sham transactions; and (d) improperly inflating the value of Enron's investment portfolio by backdating documents. After satisfying the side-deal by providing LJM2 with a guaranteed return of and on its investment, Enron began to use Raptor I to hedge the value of Enron's assets.  Enron employees manipulated the book values of Enron assets, many of which were expected to decline in value, before they were hedged, knowing that the Raptor I structure ensured that Enron would not suffer the financial reporting consequences of subsequent declines or large fluctuations in the value of those assets.  Causey and others further used Raptor I fraudulently to promote Enron's financial position by back-dating the effective date of the Raptor hedge to Enron's advantage, capturing the all-time high stock value of one of the Enron assets, stock in a company named AVICI, at a time when they knew that value already had declined.  The basic structure used in Raptor I, including the oral side-deal between Causey and Fastow, was repeated in the three successor fraudulent hedging devices known as Raptors II, III and IV. As with Raptor I, the Raptor successors were used to manipulate fraudulently Enron's reported financial results.  These vehicles did not offer true economic hedges.  Because the vehicles were dependent on the value of Enron stock, if the price of Enron stock declined the hedging obligations of the Raptors could not be met, thus creating losses that would have to be reflected on Enron's financial statements. Lay approved of the Raptors and understood they did not provide a true economic hedge, and were designed and used solely to manipulate Enron's financial statements.  Lay was advised at various times in 2000 that the Raptors did not transfer economic risk and that a decline in Enron's stock price would impair the hedging ability of the Raptors.  By no later than August 2001, Lay was aware that the Raptors were beyond salvage, and Enron's stock price had declined below the minimum required for the Raptors to meet their hedging obligations.  As a result of the fraudulent use of the Raptors, Enron reported over $1 billion in fictitious earnings on its books that should never have been recognized.  Further, as set forth below, Lay made false and misleading public statements about the Raptors."
"""Raptor"" Hedges","Beginning in the spring of 2000, Enron and LJM engaged in a series of financial transactions with four SPEs called Raptor I, Raptor II, Raptor III and Raptor IV (collectively referred to as the ""Raptors"").  The Raptors were capitalized mainly with Enron stock.  Skilling, Causey, and others used the Raptors to manipulate fraudulently Enron's reported financial results.  They used Raptor I, among other things, to protect Enron from having to report publicly in its financial results decreases in value in large portions of its energy merchant asset portfolio and technology investments by purportedly hedging the value of those investments with an allegedly independent third party created by Enron and LJM, known as Talon. However, Skilling, Causey, and others knew the Raptor I structure was invalid under applicable accounting rules because Talon was not independent from Enron, since LJM2's investment in Talon was not sufficiently at risk to qualify as outside equity.  Causey and Fastow had an oral side-deal that LJM2 would receive its initial $30 million investment in Talon plus a profit of $11 million from Enron, all prior to Talon engaging in any of the hedging transactions for which it was created.  Enron could then use Raptor I to manipulate Enron's financial statements, including by allowing Enron employees to arbitrarily select the values at which the Enron assets were hedged with Talon.  Skilling was informed of and approved the deal. The side-deal between Causey and Fastow was satisfied by Causey and others by manufacturing an illicit transaction between Enron and Talon that generated a $41 million payment to LJM2.  Specifically, Causey and others caused Enron to purchase a ""put"" on its own stock from an entity involved in the ""Raptor"" structure, which had no business purpose for Enron but ensured that LJM2 received the complete return of its $30 million investment in the first ""Raptor"" structure, together with a profit of $11 million."
Manufacturing Earnings and Concealing Debt through Purported Sales to LJM,"In addition to the fraudulent Raptor hedging devices, Skilling, Causey, and others used LJM for other transactions, including purported asset sales.  These generated reported earnings and cash flow and moved poorly performing assets temporarily off Enron's balance sheet.  Skilling, Causey, and others made undisclosed side agreements that guaranteed LJM against risk in certain of its transactions with Enron."
Cuiaba,"One such transaction involved LJM's ""purchase"" of Enron's interest in a company that was building a power plant in Cuiaba, Brazil (the ""Cuiaba project"").  On September 30, 1999, when no true third-party buyer could be found, Skilling, Causey, and others caused Enron to ""sell"" a portion of Enron's interest in the Cuiaba project to LJM for $11.3 million.  LJM agreed to ""buy"" this interest only because Skilling, Causey, and others, in an undisclosed side- deal, agreed that Enron would buy back the interest, if necessary, at a profit to LJM.  Based on this purported ""sale,"" which was in fact a asset parking or warehousing arrangement, Enron improperly recognized approximately $65 million in income in the third and fourth quarters of 1999, income that was needed to meet budget targets and earnings-per-share goals. By 2001, the Cuiaba project was approximately $200 million over budget. Nonetheless, in the spring of 2001, Skilling, Causey, and others caused Enron to agree to buy back LJM's interest in the Cuiaba project at a considerable profit to LJM, pursuant to the undisclosed oral side-deal.  Enron did not disclose the repurchase agreement in its second quarter 2001 financial reports because Skilling, Causey, and others did not want to announce the deal until after Fastow had sold his interest in LJM."
Nigerian Barges,"In the fourth quarter of 1999, Enron engaged in a bogus asset sale to Merrill Lynch as part of an effort to meet budget targets.  Enron ""sold"" Merrill Lynch an interest in electricity-generating power barges moored off the coast of Nigeria.  When Enron was unable to find a true buyer for the barges by December 1999, it parked the barges with Merrill Lynch so that Enron could record $12 million in earnings and $28 million in cash flow needed to meet budget targets. Enron induced Merrill Lynch to enter into the Nigerian barge transaction by making a secret oral promise to Merrill Lynch that Merrill Lynch would receive a return of its investment plus an agreed-upon profit within six months.  Skilling and Causey knew that the promise was concealed from Enron's auditors and the public.  Because Merrill Lynch's equity investment was not sufficiently ""at risk,"" Enron should not have treated the transaction as a sale nor recorded earnings and cash flow from the transaction.  In June 2000, Enron delivered on its promise to Merrill Lynch by producing LJM as a buyer for the Nigerian barges, while secretly promising to take LJM out of the Nigerian barge deal at a profit plus a large fee.  The Nigerian barge transaction is the subject of the SEC's action in this District against former Merrill Lynch"
Global Galactic,"Between approximately July 2000 and September 2000, Causey, Fastow, and others reached an agreement on fulfilling the unlawful side-deals between Enron and LJM. Fastow and Causey memorialized and initialed the agreement which came to be known as the ""Global Galactic"" agreement.  Among other things, Causey and Fastow reaffirmed the side-deals between Enron and LJM concerning the Nigerian barges and Cuiaba.  In addition, Causey and Fastow agreed that the put on ENE stock in Raptor I would be backdated to August 3, 2000, which would cause $41 million to be disbursed from Enron to LJM.  LJM would then ""invest"" approximately $6 million of the $41 million in a Raptor vehicle in order to increase the alleged outside equity. "
Manufacturing Earnings by Fraudulently Manipulating Asset Values,"Enron executives and senior managers, including Causey, engaged in a pattern of fraudulent conduct designed to generate earnings needed to meet budget targets by artificially increasing the book value of certain assets in Enron's large merchant asset portfolio.  This portfolio included many interests in energy-related businesses that were not publicly traded and, therefore, were valued by Enron according to its own internal valuation models.  Causey and others manipulated these models in order to produce results desired to meet earnings targets.  For example, in the fourth quarter of 2000, under the direction of Causey and others, Enron personnel fraudulently increased the value of one of Enron's largest merchant assets, Mariner Energy, by $100 million in order to help close a budget gap. "
"Use Of Disguised Loans As Asset ""Sales"" To Hide Debt And Report Fictitious Earnings","As part of the scheme to manipulate Enron's financial results and inflate its stock price, Causey, aided and abetted by others, caused Enron to obtain loans from certain financial institutions and report the transactions as sales of assets to generate purported cash from operating activities.  These transactions were sham asset sales.  Under Financial Accounting Standards 125 and 140, Enron ""sold"" assets to various SPEs it had established with various financial institutions (""FAS 140 transactions"").  Through FAS 140 transactions, Causey and others removed those assets from Enron's balance sheet and generated income and cash flow, while at the same time retaining control over the assets.  From 1998 through 2001, Enron used FAS 140 transactions to obtain disguised loans, keeping more than $2.6 billion of debt off its balance sheet, generating more than $1 billion in earnings and $2 billion in operating cash flow. As Causey and others knew, Enron provided the Canadian Imperial Bank of Commerce (""CIBC"") with oral promises that its three percent ""equity"" in certain entities, including a vehicle known as ""Hawaii 125-0,"" which was used by Enron repeatedly to move assets off-balance sheet and record earnings, would be repaid.  For example, in or about October 2000, Fastow provided such an oral promise to CIBC.  As Causey and others knew, under FAS 140, these oral guarantees violated the off-balance sheet accounting treatment of assets ""sold"" to the vehicles because CIBC's ""equity"" was not sufficiently at risk to qualify the vehicles as separate from Enron.  Thus, the transactions did not qualify as asset sales and Enron should have disclosed the loans as debt on its financial statements, not as earnings and cash flow."
